SeriesInd,group,Var01,Var02
2011-05-06,S01,26.610001,10369300
2011-05-07,S01,26.299999,10943800
2011-05-08,S01,26.030001,8933800
2011-05-09,S01,25.84,10775400
2011-05-10,S01,26.34,12875600
2011-05-13,S01,26.49,11677000
2011-05-14,S01,26.030001,21165300
2011-05-15,S01,25.16,18809200
2011-05-16,S01,25,22908400
2011-05-17,S01,24.77,20359100
2011-05-21,S01,24.780001,11783800
2011-05-22,S01,24.610001,13253500
2011-05-23,S01,24.879999,18407800
2011-05-24,S01,24.17,21806400
2011-05-27,S01,23.82,20192100
2011-05-28,S01,23.9,19646700
2011-05-29,S01,23.66,19535100
2011-05-30,S01,23.51,20198600
2011-05-31,S01,23.370001,23137300
2011-06-03,S01,23.08,13199000
2011-06-04,S01,23.370001,11891100
2011-06-05,S01,23.32,12877300
2011-06-06,S01,23.01,14643500
2011-06-07,S01,23.129999,23094000
2011-06-10,S01,23.370001,16138900
2011-06-11,S01,23.66,17494900
2011-06-12,S01,23.58,12401200
2011-06-13,S01,24,16194800
2011-06-14,S01,24.27,21796600
2011-06-18,S01,24.879999,22856400
2011-06-19,S01,24.969999,19430500
2011-06-20,S01,24.860001,13218600
2011-06-21,S01,25.059999,15979000
2011-06-24,S01,25.15,11176800
2011-06-25,S01,24.719999,12905800
2011-06-26,S01,25,14513800
2011-06-27,S01,24.549999,17886100
2011-06-28,S01,24.610001,13204600
2011-07-01,S01,24.93,14892800
2011-07-02,S01,24.92,16888500
2011-07-03,S01,24.790001,13012700
2011-07-04,S01,24.75,13538000
2011-07-05,S01,25.09,10345800
2011-07-08,S01,25.09,22269200
2011-07-09,S01,24.49,27986900
2011-07-10,S01,24.68,13878500
2011-07-11,S01,24.4,23056400
2011-07-12,S01,24.24,15073900
2011-07-15,S01,23.99,9053400
2011-07-16,S01,24.75,18282000
2011-07-17,S01,25,12620400
2011-07-18,S01,25,10499500
2011-07-19,S01,24.73,16945400
2011-07-22,S01,24.75,10651200
2011-07-23,S01,25.48,17937200
2011-07-24,S01,25.33,16894900
2011-07-25,S01,25.219999,11306500
2011-07-26,S01,25.030001,10138000
2011-07-29,S01,25.07,9217600
2011-07-30,S01,24.889999,11074400
2011-07-31,S01,24.77,9899700
2011-08-01,S01,25,9057000
2011-08-05,S01,25.5,14225500
2011-08-06,S01,25.299999,10626400
2011-08-07,S01,25.4,13333000
2011-08-08,S01,25.32,16002500
2011-08-09,S01,24.969999,13451500
2011-08-12,S01,25.98,18574600
2011-08-13,S01,26,11606700
2011-08-14,S01,26.91,20317400
2011-08-15,S01,27,11570500
2011-08-16,S01,26.809999,14772100
2011-08-19,S01,26.68,13289700
2011-08-20,S01,26.84,11003900
2011-08-21,S01,26.9,10479800
2011-08-22,S01,26.6,17497200
2011-08-23,S01,26.75,14470700
2011-08-26,S01,27.35,21070400
2011-08-27,S01,27.440001,37647800
2011-08-28,S01,26.76,17187200
2011-08-29,S01,27.049999,15133100
2011-08-30,S01,26.950001,18069000
2011-09-02,S01,26.719999,12975600
2011-09-03,S01,26.219999,21086300
2011-09-04,S01,26.18,21484600
2011-09-05,S01,26.120001,27373200
2011-09-06,S01,25.27,26491900
2011-09-09,S01,26,17622700
2011-09-10,S01,26.15,15890100
2011-09-11,S01,26.15,12698500
2011-09-12,S01,26.09,13313600
2011-09-13,S01,25.360001,18323300
2011-09-16,S01,25.5,16456000
2011-09-17,S01,25.66,25045000
2011-09-18,S01,24.870001,19404600
2011-09-19,S01,24.700001,24563200
2011-09-20,S01,24.84,19264900
2011-09-23,S01,24.6,12654300
2011-09-24,S01,24.440001,20761600
2011-09-25,S01,24.82,17978000
2011-09-26,S01,24.870001,14974200
2011-09-27,S01,24.9,14589500
2011-10-01,S01,24.860001,15099700
2011-10-02,S01,24.780001,12846000
2011-10-03,S01,25.18,12150800
2011-10-04,S01,24.950001,14542600
2011-10-07,S01,24.559999,16883500
2011-10-08,S01,24,19113300
2011-10-09,S01,24.540001,19882500
2011-10-10,S01,24.57,17308800
2011-10-11,S01,24.59,13942700
2011-10-14,S01,24.889999,14604200
2011-10-15,S01,25.76,17740500
2011-10-16,S01,25.6,19305300
2011-10-17,S01,25.690001,10056300
2011-10-18,S01,25.690001,12038300
2011-10-21,S01,25.85,11123000
2011-10-22,S01,25.58,11927500
2011-10-23,S01,25.1,11448400
2011-10-24,S01,24.75,14724700
2011-10-25,S01,24.43,26127200
2011-10-28,S01,24.5,11670500
2011-10-29,S01,24.09,19408500
2011-10-30,S01,24.07,17478500
2011-10-31,S01,23.469999,16440000
2011-11-01,S01,23.389999,11337000
2011-11-05,S01,23.540001,13470200
2011-11-06,S01,24.27,16852400
2011-11-07,S01,24.469999,10670900
2011-11-08,S01,24.51,7698500
2011-11-11,S01,24.799999,9822500
2011-11-12,S01,25.540001,15212100
2011-11-13,S01,25.799999,17591100
2011-11-14,S01,25.450001,14120800
2011-11-15,S01,25.43,12003700
2011-11-18,S01,25.58,15506000
2011-11-19,S01,24.889999,30930000
2011-11-20,S01,24.92,15249900
2011-11-21,S01,25.42,15635900
2011-11-22,S01,25.459999,12517200
2011-11-25,S01,25.66,9569100
2011-11-26,S01,25.92,13152100
2011-11-27,S01,25.620001,11958100
2011-11-28,S01,25.4,12190000
2011-11-29,S01,24.879999,13150900
2011-12-02,S01,25.23,9116900
2011-12-03,S01,25.1,9204100
2011-12-04,S01,25.25,10671300
2011-12-05,S01,25.530001,13410400
2011-12-06,S01,25.6,12003500
2011-12-09,S01,25.85,8919100
2011-12-10,S01,25.540001,15417300
2011-12-11,S01,25.139999,12745300
2011-12-12,S01,24.969999,18134400
2011-12-13,S01,24.690001,9836200
2011-12-16,S01,24.59,10180900
2011-12-17,S01,24.870001,9929400
2011-12-18,S01,25.139999,10860600
2011-12-19,S01,25.049999,9449500
2011-12-20,S01,24.870001,12589100
2011-12-23,S01,24.860001,12780000
2011-12-24,S01,24.58,14861700
2011-12-25,S01,24.41,14788700
2011-12-26,S01,24.34,15337500
2011-12-27,S01,24.219999,17892700
2011-12-30,S01,23.9,19672200
2011-12-31,S01,23.59,17039700
2012-01-01,S01,23.860001,13779500
2012-01-02,S01,24.120001,10832200
2012-01-03,S01,24.49,11599200
2012-01-07,S01,24.120001,11004700
2012-01-08,S01,23.77,12763600
2012-01-09,S01,24.16,13149200
2012-01-10,S01,23.889999,17328700
2012-01-13,S01,24.49,12710300
2012-01-14,S01,24.93,14274900
2012-01-15,S01,24.709999,11457300
2012-01-16,S01,24.99,12517500
2012-01-17,S01,25.85,25212100
2012-01-20,S01,25.93,16572300
2012-01-21,S01,26.08,15808400
2012-01-22,S01,25.969999,10210100
2012-01-23,S01,26.25,13297600
2012-01-24,S01,26.940001,14901500
2012-01-27,S01,27,9673700
2012-01-28,S01,27.17,12484500
2012-01-29,S01,27.08,12016400
2012-01-30,S01,27.4,19052400
2012-01-31,S01,27.610001,12156000
2012-02-03,S01,27.58,15091800
2012-02-04,S01,28.5,23034400
2012-02-05,S01,28.559999,18289700
2012-02-06,S01,28.4,16897300
2012-02-07,S01,28.860001,16244800
2012-02-10,S01,28.98,11592500
2012-02-11,S01,28.85,14847700
2012-02-12,S01,28.450001,20238400
2012-02-13,S01,28.540001,13072100
2012-02-14,S01,28.809999,13427500
2012-02-17,S01,28.709999,11535100
2012-02-18,S01,28.52,13135700
2012-02-19,S01,28.24,14047900
2012-02-20,S01,28.309999,10824000
2012-02-21,S01,28.709999,9318700
2012-02-24,S01,29.190001,15464900
2012-02-25,S01,28.91,17814300
2012-02-26,S01,29.48,16822600
2012-02-27,S01,29.43,14399700
2012-02-28,S01,29.75,15745700
2012-03-02,S01,29.84,12181700
2012-03-03,S01,29.9,10739400
2012-03-04,S01,30,13185500
2012-03-05,S01,30.790001,15003400
2012-03-06,S01,31.469999,17664000
2012-03-09,S01,31.469999,13242600
2012-03-10,S01,31.59,13105600
2012-03-11,S01,31.43,11578800
2012-03-12,S01,30.93,14662700
2012-03-13,S01,31.379999,16420400
2012-03-16,S01,31.209999,8417600
2012-03-17,S01,30.85,13728300
2012-03-18,S01,31.049999,10932400
2012-03-19,S01,31.51,13157600
2012-03-20,S01,31.950001,12181200
2012-03-23,S01,32.259998,12183000
2012-03-24,S01,32.220001,11933600
2012-03-25,S01,32.560001,11777700
2012-03-27,S01,32.509998,2946000
2012-03-30,S01,32.330002,9011300
2012-03-31,S01,32.009998,12156400
2012-04-01,S01,32.939999,16463900
2012-04-02,S01,32.860001,10807100
2012-04-03,S01,32.98,13443800
2012-04-06,S01,33.009998,13383300
2012-04-07,S01,33.639999,19578000
2012-04-08,S01,33.75,14122100
2012-04-09,S01,33.93,9768500
2012-04-10,S01,33.740002,15516400
2012-04-13,S01,33,10247000
2012-04-14,S01,32.860001,9316700
2012-04-15,S01,32.939999,7849900
2012-04-16,S01,32.77,11000800
2012-04-17,S01,32.990002,15308500
2012-04-20,S01,32.689999,7542700
