SeriesInd,group,Var05,Var07
2011-05-06,S03,30.4899997143,30.5728568571
2011-05-07,S03,30.6571425714,30.6257132857
2011-05-08,S03,30.6257132857,30.1385707143
2011-05-09,S03,30.25,30.0828571428
2011-05-10,S03,30.0428562857,30.2828578571
2011-05-13,S03,30.3999995714,30.0157147143
2011-05-14,S03,29.884285,29.6742858571
2011-05-15,S03,29.695715,30.0928574285
2011-05-16,S03,30.0157147143,29.9185714285
2011-05-17,S03,30.1328564285,29.4185714285
2011-05-21,S03,29.7614288571,30.7199992857
2011-05-22,S03,30.7014294285,30.2471428571
2011-05-23,S03,30.297142,29.7242851428
2011-05-24,S03,29.5400008571,28.25
2011-05-27,S03,28.9300002857,29.0100002857
2011-05-28,S03,29.4214287143,29.4200001428
2011-05-29,S03,29.5499992857,29.6971435714
2011-05-30,S03,29.2757148571,28.4699992857
2011-05-31,S03,28.7257137143,27.4371432857
2011-06-03,S03,27.4814281428,27.8185711428
2011-06-04,S03,27.9871425714,27.9799995714
2011-06-05,S03,27.8814277143,28.4614277143
2011-06-06,S03,28.1042861428,27.4357147143
2011-06-07,S03,27.5185718571,27.9228572857
2011-06-10,S03,27.9557151428,27.7314281428
2011-06-11,S03,28.0599994285,28.0271434285
2011-06-12,S03,27.9842852857,27.8742867143
2011-06-13,S03,27.8400001428,28.3814277143
2011-06-14,S03,28.3014278571,28.6257132857
2011-06-18,S03,28.8485717143,29.0571422857
2011-06-19,S03,29.1700001428,28.9357147143
2011-06-20,S03,28.804285,28.9899997143
2011-06-21,S03,28.837143,28.8099994285
2011-06-24,S03,28.905714,28.6314277143
2011-06-25,S03,28.5714282857,28.1514282857
2011-06-26,S03,28.3185711428,28.6657142857
2011-06-27,S03,28.1971435714,28.8571434285
2011-06-28,S03,28.9114284285,29.2314281428
2011-07-01,S03,29.3928565714,29.8557148571
2011-07-02,S03,29.9899997143,29.8357142857
2011-07-03,S03,29.8485717143,29.9042854285
2011-07-04,S03,29.8971424285,30.101429
2011-07-05,S03,30.7057151428,31.2785721428
2011-07-08,S03,31.4300002857,31.297142
2011-07-09,S03,31.1871432857,31.8600005714
2011-07-10,S03,31.9757137143,32.119999
2011-07-11,S03,31.9871425714,32.2142868571
2011-07-12,S03,32.48143,32.3714294285
2011-07-15,S03,32.1971435714,31.9771422857
2011-07-16,S03,32.0257148571,32.0642852857
2011-07-17,S03,32.1285705714,32.0171432857
2011-07-18,S03,32.014286,32.0928574285
2011-07-19,S03,32.1128578571,31.75
2011-07-22,S03,31.4957141428,32.1071434285
2011-07-23,S03,32.2342872857,32.6228561428
2011-07-24,S03,32.5200004285,32.7671432857
2011-07-25,S03,32.9885711428,32.3785705714
2011-07-26,S03,32.7071418571,32.985714
2011-07-29,S03,33.2857131428,33.1985702857
2011-07-30,S03,33.7999992857,33.6928558571
2011-07-31,S03,33.6414298571,33.5714301428
2011-08-01,S03,33.9157142857,33.7099991428
2011-08-05,S03,33.568573,34.0699997143
2011-08-06,S03,34.0285721428,34.2200012857
2011-08-07,S03,34.2214278571,34.3714294285
2011-08-08,S03,34.3485717143,34.2785721428
2011-08-09,S03,34.4900017143,34.5414275714
2011-08-12,S03,34.5999984285,34.6128578571
2011-08-13,S03,34.5514297143,34.6328582857
2011-08-14,S03,35.0400008571,35.0985717143
2011-08-15,S03,35.1114272857,35.5600014285
2011-08-16,S03,35.5099982857,35.3428574285
2011-08-19,S03,35.2900008571,35.2957152857
2011-08-20,S03,35.5057144285,34.9414291428
2011-08-21,S03,36.9714278571,37.0314292857
2011-08-22,S03,36.8914298571,38.0671424285
2011-08-23,S03,38.2842864285,38.6899985714
2011-08-26,S03,38.8400001428,38.5
2011-08-27,S03,38.181427,37.4342841428
2011-08-28,S03,37.6071434285,37.3714294285
2011-08-29,S03,37.5742874285,38.3771438571
2011-08-30,S03,38.4728584285,37.2985725714
2011-09-02,S03,37.6914291428,38.0499992857
2011-09-03,S03,37.5557137142,36.9542847142
2011-09-04,S03,36.1471442857,36.5699997142
2011-09-05,S03,36.2614288571,35.1785698571
2011-09-06,S03,34.8157158571,33.6942862857
2011-09-09,S03,35.75,36.2842864285
2011-09-10,S03,35.9771422857,36.6457138571
2011-09-11,S03,37.0342864285,37.4414291428
2011-09-12,S03,37.6028557142,36.9085731428
2011-09-13,S03,36.4514274285,36.2599982857
2011-09-16,S03,36.3857154285,36.3171424285
2011-09-17,S03,36.7114295714,36.0514297142
2011-09-18,S03,35.6428565714,35.4771422857
2011-09-19,S03,34.554287,33.9657135714
2011-09-20,S03,33.2599982857,34.6171417143
2011-09-23,S03,35.3257141428,35.2514267143
2011-09-24,S03,34.1928558571,35.0314292857
2011-09-25,S03,35.7257155714,34.8728561428
2011-09-26,S03,35.7999992857,36.1928558571
2011-09-27,S03,37.0557137142,36.6971435714
2011-10-01,S03,37.0985717142,37.2614288571
2011-10-02,S03,37.7914275714,37.7071418571
2011-10-03,S03,37.8828582857,37.5885695714
2011-10-04,S03,36.8871421428,36.5657158571
2011-10-07,S03,36.898571,35.8485717142
2011-10-08,S03,36.1771431428,35.6185722857
2011-10-09,S03,35.9242858571,34.7428588571
2011-10-10,S03,34.9771422857,35.7871437142
2011-10-11,S03,35.4614295714,36.2157135714
2011-10-14,S03,36.5657158571,36.3257141428
2011-10-15,S03,36.5200004285,37.0985717142
2011-10-16,S03,37.2999992857,38.1785698571
2011-10-17,S03,38.6571425714,38.8385695714
2011-10-18,S03,38.8928565714,39.1528587142
2011-10-21,S03,39.6699981428,38.5957145714
2011-10-22,S03,38.880001,39.1214294285
2011-10-23,S03,39.2257155714,38.7099991428
2011-10-24,S03,38.7142868571,38.4285698571
2011-10-25,S03,38.5800018571,38.0999984285
2011-10-28,S03,38.1328582857,38.3285712857
2011-10-29,S03,37.73143,36.5957145714
2011-10-30,S03,36.6728554285,35.9328575714
2011-10-31,S03,36.3285712857,35.4971428571
2011-11-01,S03,35.7842864285,35.2771415714
2011-11-05,S03,35.8571434285,35.51857
2011-11-06,S03,35.7842864285,36.952858
2011-11-07,S03,37.4971428571,36.869999
2011-11-08,S03,36.6985702857,37.0885695714
2011-11-11,S03,36.9328575714,36.7557144285
2011-11-12,S03,36.6171417142,35.9714278571
2011-11-13,S03,35.6257132857,36.1042861428
2011-11-14,S03,35.4614295714,35.9214287142
2011-11-15,S03,36.1685714285,35.7000007143
2011-11-18,S03,35.6971435714,35.082859
2011-11-19,S03,34.7000007143,35.9842872857
2011-11-20,S03,37.869999,36.3199997142
2011-11-21,S03,36.811428,37.0028571428
2011-11-22,S03,36.7271422857,37.134285
2011-11-25,S03,37.1428565714,37.0400008571
2011-11-26,S03,37.2671432857,37.7257155714
2011-11-27,S03,37.667141,37.2799987142
2011-11-28,S03,37.2442855714,36.8728561428
2011-11-29,S03,36.5557137142,36.75
2011-12-02,S03,37.2057151428,37.4071425714
2011-12-03,S03,37.2871437142,37.4185714285
2011-12-04,S03,37.5485725714,37.568573
2011-12-05,S03,37.3899994285,37.3857154285
2011-12-06,S03,37.1114272857,37.155716
2011-12-09,S03,37.3542861428,37.3928565714
2011-12-10,S03,37.1214294285,37.0585708571
2011-12-11,S03,36.485714,35.7414284285
2011-12-12,S03,35.2414284285,35.9700012857
2011-12-13,S03,35.9500007142,35.5857124285
2011-12-16,S03,35.3685722857,35.3771438571
2011-12-17,S03,35.7257155714,35.9957161428
2011-12-18,S03,36.0514297142,36.1528587142
2011-12-19,S03,36.119999,35.6971435714
2011-12-20,S03,35.6271438571,35.662857
2011-12-23,S03,35.9700012857,35.1142845714
2011-12-24,S03,34.667141,34.2757148571
2011-12-25,S03,34.0057144285,34.6985702857
2011-12-26,S03,35.0642852857,34.3257141428
2011-12-27,S03,34.5357131428,34.5171432857
2011-12-30,S03,34.3942871428,34.6428565714
2011-12-31,S03,34.5499992857,34.7285728571
2012-01-01,S03,35.3528557143,35.7614288571
2012-01-02,S03,35.8942871428,36.0242844285
2012-01-03,S03,36.4414291428,36.967144
2012-01-07,S03,36.662857,36.8300018571
2012-01-08,S03,37.1114272857,37.5600014285
2012-01-09,S03,37.8628578571,37.5814285714
2012-01-10,S03,37.5985717142,37.630001
2012-01-13,S03,37.9742851428,38.148571
2012-01-14,S03,38.0299987142,38.2942848571
2012-01-15,S03,38.3100014285,38.6028557142
2012-01-16,S03,38.6057128571,39.5099982857
2012-01-17,S03,39.6699981428,39.3385695714
2012-01-20,S03,39.4399985714,40.4614295714
2012-01-21,S03,40.5514297142,40.5385704285
2012-01-22,S03,40.3871421428,41.1071434285
2012-01-23,S03,40.9042854285,41.2742844285
2012-01-24,S03,41.7285728571,41.7599982857
2012-01-27,S03,41.9971428571,41.594284
2012-01-28,S03,41.681427,40.9799995714
2012-01-29,S03,41.032856,41.0528564285
2012-01-30,S03,41.2857131428,40.5357131428
2012-01-31,S03,40.8785705714,40.3600005714
2012-02-03,S03,40.2285728571,39.8057137142
2012-02-04,S03,40.2857131428,41.2771415714
2012-02-05,S03,41.369999,41.3128585714
2012-02-06,S03,41.4771422857,41.3171424285
2012-02-07,S03,41.6728554285,42.0099982857
2012-02-10,S03,42.1057128571,42.1942862857
2012-02-11,S03,42.2014274285,42.648571
2012-02-12,S03,42.8857154285,42.8771438571
2012-02-13,S03,43.0985717142,43.1871414285
2012-02-14,S03,43.9199981428,44.9628562857
2012-02-17,S03,45.4957161428,45.4285698571
2012-02-18,S03,43.3428574285,44.2128562857
2012-02-19,S03,44.1428565714,44.3614272857
2012-02-20,S03,44.6228561428,44.217144
2012-02-21,S03,44.1528587142,43.9242858571
2012-02-24,S03,44.155716,44.119999
2012-02-25,S03,43.8385695714,44.0071411428
2012-02-26,S03,43.9500007142,43.9757155714
2012-02-27,S03,43.9928588571,43.6057128571
2012-02-28,S03,43.4614295714,42.9971428571
2012-03-02,S03,43.1742858571,43.4542847142
2012-03-03,S03,43.8571434285,44.1942862857
2012-03-04,S03,44.48143,44.6857147142
2012-03-05,S03,45.0642852857,45.467144
2012-03-06,S03,45.4271431428,45.304287
2012-03-09,S03,45.3142852857,45.5171432857
2012-03-10,S03,45.8642845714,45.1542854285
2012-03-11,S03,45.2342872857,45.4328575714
2012-03-12,S03,45,45.235714
2012-03-13,S03,45.1428565714,44.0042838571
2012-03-16,S03,44.0657158571,43.8628578571
2012-03-17,S03,43.6742858571,43.0842857142
2012-03-18,S03,43.0285721428,42.9285698571
2012-03-19,S03,43.5999984285,44.061428
2012-03-20,S03,43.9957161428,43.818573
2012-03-23,S03,43.811428,44.7657127142
2012-03-24,S03,44.3499984285,44.1042861428
2012-03-25,S03,44.5714301428,44.9714278571
2012-03-27,S03,44.8199997142,45
2012-03-30,S03,45.0714301428,45.2671432857
2012-03-31,S03,44.7914275714,44.4500007142
2012-04-01,S03,45.0385704285,45.2000007142
2012-04-02,S03,45.3614272857,45.4500007142
2012-04-03,S03,45.2871437142,45.3485717142
2012-04-06,S03,45.5200004285,45.735714
2012-04-07,S03,46.2571411428,45.4585724285
2012-04-08,S03,45.6614304285,45.8585701428
2012-04-09,S03,46.01857,45.6800002857
2012-04-10,S03,45.6642875714,45.7942848571
2012-04-13,S03,46.3385695714,45.952858
2012-04-14,S03,45.9614295714,45.7557144285
2012-04-15,S03,45.7142868571,45.7657127142
2012-04-16,S03,45.869999,45.8928565714
2012-04-17,S03,45.9471435714,45.8014297142
2012-04-20,S03,45.9428558571,46.0299987142
2012-04-21,S03,46.1428565714,46.3142852857
2012-04-22,S03,46.337143,46.4514274285
2012-04-23,S03,46.4285698571,46.2285728571
2012-04-27,S03,46.1214294285,46.3828582857
2012-04-28,S03,46.5585708571,46.4957161428
2012-04-29,S03,46.6028557142,46.4700012857
2012-04-30,S03,46.4971428571,46.2371444285
2012-05-01,S03,46.1357154285,46.0800018571
2012-05-04,S03,46.5200004285,47.0814285714
2012-05-05,S03,47.4914284285,47.3271445714
2012-05-06,S03,47.0785712857,47.7142868571
2012-05-07,S03,47.8171424285,47.6757125714
2012-05-08,S03,47.7128562857,48.0171432857
2012-05-11,S03,48.4042854285,48.9214287142
2012-05-12,S03,49.26857,48.8057137142
2012-05-13,S03,49.0357131428,49.202858
2012-05-14,S03,49.3085708571,49.3828582857
2012-05-15,S03,49.412857,49.782856
2012-05-19,S03,47.0742874285,48.6642875714
2012-05-20,S03,49.764286,48.405716
2012-05-21,S03,48.061428,47.5257148571
2012-05-22,S03,47.681427,46.6742858571
2012-05-25,S03,46.695713,48.2071418571
2012-05-26,S03,48.047142,48.7714271428
2012-05-27,S03,48.9942855714,49.1214294285
2012-05-28,S03,49.1114272857,49.0299987142
2012-05-29,S03,49.167141,48.014286
2012-06-01,S03,47.9714278571,48.4742851428
2012-06-02,S03,48.7571411428,49.2900008571
2012-06-03,S03,49.2071418571,49.188572
2012-06-04,S03,49.1142845714,49.0628585714
2012-06-05,S03,49.0914268571,49.5
2012-06-08,S03,49.6985702857,50.2685699999
2012-06-09,S03,50.5257148571,50.7428588571
2012-06-10,S03,50.7414284285,51.1657142857
2012-06-11,S03,51.0557137142,50.6485709999
2012-06-12,S03,50.6785698571,50.9785728571
2012-06-15,S03,50.9700012857,51.3114279999
2012-06-16,S03,51.3128585714,51.4142875714
2012-06-17,S03,51.5428581428,51.8757132857
2012-06-18,S03,51.0357131428,51.1857147142
2012-06-19,S03,51.2442855714,50.0800018571
2012-06-23,S03,48.8785705714,48.3728561428
2012-06-24,S03,48.3957138571,48.945713
2012-06-25,S03,49.1457138571,48.9828567142
2012-06-26,S03,49.3228568571,49.7371444285
2012-06-29,S03,50.1771431428,50.4585724285
2012-06-30,S03,50.7814292857,49.9014282857
2012-07-01,S03,49.9942855714,50.3028564285
2012-07-02,S03,51.0271415714,51.3657149999
2012-07-03,S03,51.4385719999,51.4285698571
2012-07-06,S03,51.6285705714,50.7657127142
2012-07-07,S03,50.7014274285,50.8228568571
2012-07-08,S03,50.6699981428,50.3528557142
2012-07-09,S03,49.8742867142,49.5242844285
2012-07-10,S03,49.332859,50.2842864285
2012-07-13,S03,50.4542847142,50.5085715714
2012-07-14,S03,48.8714294285,49.3471412857
2012-07-15,S03,48.8571434285,47.1442871428
2012-07-16,S03,48.1185722857,47.8057137142
2012-07-17,S03,48.1614304285,47.2385711428
2012-07-20,S03,47.9985732857,48.4714278571
2012-07-21,S03,48.9371414285,48.7428588571
2012-07-22,S03,48.4685707142,48.4557151428
2012-07-23,S03,48.8357124285,49.2814292857
2012-07-24,S03,49.7242851428,50.2200012857
2012-07-27,S03,50.4500007142,50.0628585714
2012-07-28,S03,49.6657142857,50.1371421428
2012-07-29,S03,50.0914268571,49.804287
2012-07-30,S03,49.4799995714,49.7871437142
2012-07-31,S03,50.1585731428,49.2228584285
2012-08-03,S03,49.1871414285,48.7414284285
2012-08-04,S03,48.1414298571,48.412857
2012-08-05,S03,48.7457161428,48.2914275714
2012-08-06,S03,48.2999992857,48.297142
2012-08-07,S03,48.5600014285,47.865715
2012-08-10,S03,47.7228584285,47.2571411428
2012-08-11,S03,47.2128562857,47.485714
2012-08-12,S03,47.8600005714,48.01857
2012-08-13,S03,47.8285712857,47.4885711428
2012-08-14,S03,47.6142845714,46.7799987142
2012-08-17,S03,46.5857124285,47.4071425714
2012-08-18,S03,47.5857124285,48.2657127142
2012-08-19,S03,49.0728568571,48.9157142857
2012-08-20,S03,50.7142868571,50.0999984285
2012-08-24,S03,50.0485725714,50.4300002857
2012-08-25,S03,50.5171432857,50.0600014285
2012-08-26,S03,50.3199997142,50.0214271428
2012-08-27,S03,49.4557151428,49.5357131428
2012-08-28,S03,49.5400008571,50.0185699999
2012-08-31,S03,49.9628562857,49.4685707142
2012-09-01,S03,49.7128562857,49.7428588571
2012-09-02,S03,49.7514267142,49.938572
2012-09-03,S03,49.7714271428,49.5357131428
2012-09-04,S03,49.9557151428,49.5228577142
2012-09-07,S03,49.6942862857,49.6571425714
