"Index","mean"
"1",0.0527666067158013
"2",0.0630914035458568
"3",0.0697082509171855
"4",0.0731513573244103
"5",0.0736631972473967
"6",0.0737723925677836
"7",0.0745818778295363
"8",0.0750226712688342
"9",0.0747282395643944
"10",0.0745752585866761
"11",0.0748377092596426
"12",0.0749555605350413
"13",0.0747896376306057
"14",0.074725752816879
"15",0.0748419196730982
"16",0.0748803537497524
"17",0.0748022110433306
"18",0.074780709854936
"19",0.074833711502331
"20",0.0748455730617995
"21",0.0748098979603444
"22",0.0748037155562704
"23",0.0748276773308899
"24",0.0748306619421218
"25",0.0748146298066337
"26",0.0748134005576064
"27",0.0748240930291324
"28",0.0748244086891987
"29",0.0748173014184068
"30",0.0748174243920704
"31",0.0748221331138774
"32",0.074821831388976
"33",0.0748187220766757
"34",0.0748190676025643
"35",0.0748211139407857
"36",0.0748207890646199
"37",0.0748194468623843
"38",0.0748197251186895
"39",0.0748206024282111
"40",0.0748203768331196
"41",0.0748198054375806
"42",0.0748199817975657
"43",0.0748203525740019
"44",0.0748202182533024
"45",0.0748199785874428
"46",0.0748200788920374
"47",0.0748202331791123
"48",0.0748201594303633
"49",0.0748200605357311
"50",0.0748201140792912
"51",0.0748201771753138
"52",0.0748201387082355
"53",0.0748200986534931
"54",0.0748201260425925
"55",0.0748201513313867
"56",0.0748201319810224
"57",0.0748201161110251
"58",0.0748201296886833
"59",0.074820139580845
"60",0.0748201301118855
"61",0.0748201239928782
"62",0.0748201305600045
"63",0.0748201343118543
"64",0.0748201297802743
"65",0.0748201275034502
"66",0.0748201306158289
"67",0.0748201319805848
"68",0.0748201298522467
"69",0.0748201290464804
"70",0.0748201304959407
"71",0.0748201309626559
"72",0.0748201299793668
"73",0.074820129715757
"74",0.0748201303803253
"75",0.074820130524112
"76",0.0748201300765625
"77",0.0748201300021108
"78",0.0748201303024638
"79",0.0748201303378062
"80",0.0748201301369213
"81",0.0748201301228704
"82",0.0748201302567798
"83",0.074820130259839
"84",0.0748201301708701
"85",0.0748201301730008
"86",0.0748201302319167
"87",0.0748201302277487
"88",0.074820130188863
"89",0.0748201301934459
"90",0.0748201302190256
"91",0.0748201302147896
"92",0.0748201301980199
"93",0.0748201302016139
"94",0.0748201302125696
"95",0.0748201302096734
"96",0.0748201302025416
"97",0.0748201302047962
"98",0.0748201302094215
"99",0.0748201302077097
"100",0.0748201302047216
"101",0.0748201302059968
"102",0.0748201302079193
"103",0.0748201302069835
"104",0.0748201302057521
"105",0.0748201302064303
"106",0.0748201302072155
"107",0.0748201302067288
"108",0.0748201302062308
"109",0.0748201302065769
"110",0.0748201302068911
"111",0.0748201302066468
"112",0.0748201302064498
"113",0.0748201302066211
"114",0.0748201302067437
"115",0.0748201302066244
"116",0.0748201302065486
"117",0.0748201302066313
"118",0.0748201302066777
"119",0.0748201302066207
"120",0.0748201302065926
"121",0.0748201302066317
"122",0.0748201302066485
"123",0.0748201302066218
"124",0.0748201302066119
"125",0.0748201302066301
"126",0.0748201302066358
"127",0.0748201302066235
"128",0.0748201302066202
"129",0.0748201302066286
"130",0.0748201302066303
"131",0.0748201302066247
"132",0.0748201302066238
"133",0.0748201302066276
"134",0.074820130206628
"135",0.0748201302066255
"136",0.0748201302066253
"137",0.074820130206627
"138",0.074820130206627
"139",0.0748201302066259
"140",0.074820130206626
